2020-06-30 01:32:43,588 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-06-30 01:32:44,484 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-06-30 01:32:44,491 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 01:32:44,493 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 01:32:44,515 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 01:32:44,516 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 01:32:44,544 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input
2020-06-30 01:32:44,548 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
2020-06-30 01:32:44,549 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.059 seconds
2020-06-30 01:32:45,613 | INFO | AbstractLogger.java 382 | log:?level=INFO&showBody=true
2020-06-30 01:32:45,658 | INFO | AbstractLogger.java 382 | log:?level=INFO&showBody=true
2020-06-30 01:32:49,551 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is shutting down
2020-06-30 01:32:49,554 | INFO | AbstractLogger.java 403 | Starting to graceful shutdown 1 routes (timeout 45 seconds)
2020-06-30 01:32:49,559 | INFO | AbstractLogger.java 393 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-06-30 01:32:49,561 | INFO | AbstractLogger.java 393 | Graceful shutdown of 1 routes completed in 0 seconds
2020-06-30 01:32:49,574 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) uptime 5.085 seconds
2020-06-30 01:32:49,578 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) is shutdown in 0.027 seconds
2020-06-30 01:44:02,301 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-06-30 01:44:03,248 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-06-30 01:44:03,254 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 01:44:03,255 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 01:44:03,275 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 01:44:03,275 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 01:44:03,308 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input
2020-06-30 01:44:03,311 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
